site_id,type,x_m,y_m,lat,lon,weight_balanced,captured_vol_eucl,captured_vol_weighted
0,FF_Based,-3511.128772594197,-15615.841109637093,33.926516,-118.27914066666666,0.0,,
1,FF_Based,5313.526576277468,-16765.554069636968,33.916188,-118.18344499999999,0.0,,
2,FF_Based,-4049.6077437821077,-21646.212489636975,33.8723445,-118.28497999999999,0.0,,
3,FF_Based,6280.132908506093,-3627.6153782086153,34.03420757142857,-118.172963,0.0,,
4,FF_Based,-4090.08210998586,-23358.531669636937,33.85696254545454,-118.28541890909091,0.0,,
5,FF_Based,-882.2859929705752,3826.883363696324,34.101172166666665,-118.25063316666667,0.0,,
6,FF_Based,1984.027918741533,14690.722760363047,34.19876325,-118.2195505,0.0,,
7,FF_Based,5380.7519164980695,-17813.631869636905,33.906773,-118.182716,0.0,,
8,FF_Based,-3977.7716120507876,-3314.2018696372775,34.037023,-118.284201,0.0,,
9,FF_Based,-3061.699554775798,-3435.262369637144,34.0359355,-118.27426700000001,0.0,,
10,FF_Based,-10986.082491947349,-14962.615349637146,33.932384,-118.3602,0.0,,
11,FF_Based,6131.757637703354,-17295.99386963712,33.911423,-118.174572,0.0,,
12,FF_Based,-18813.50048365542,22429.49435036302,34.2682815,-118.4450815,0.0,,
13,FF_Based,6381.355151462701,-5516.000149637252,34.017244,-118.17186533333334,0.0,,
14,FF_Based,2966.7522607215683,-26809.862252494084,33.82595885714286,-118.20889371428571,0.0,,
15,FF_Based,-12244.920790101616,-15229.560709637086,33.929986,-118.373851,0.0,,
16,FF_Based,2604.9105166796294,-4241.799623922774,34.02869028571428,-118.21281757142857,0.0,,
17,FF_Based,22313.523258179954,-327.61782963701387,34.06385181818182,-117.99909490909091,0.0,,
18,FF_Based,12536.884772215279,-18299.65498963741,33.902407,-118.105114,0.0,,
19,FF_Based,40108.08087454607,-276.1836524941312,34.06431385714286,-117.8061285,0.0,,
20,FF_Based,44810.67324386291,-4232.814509637145,34.028771,-117.755133,0.0,,
21,FF_Based,12803.542214563517,-21307.521389636913,33.875387,-118.10222233333333,0.0,,
22,FF_Based,1153.7626914730122,8014.444910362732,34.1387895,-118.228554,0.0,,
23,FF_Based,1551.3578302553306,8883.480393220223,34.14659614285714,-118.22424242857143,0.0,,
24,FF_Based,37816.886357225274,6049.535590363044,34.1211385,-117.8309745,0.0,,
25,FF_Based,-3896.4372498085463,9495.4461903633,34.15209350000001,-118.283319,0.0,,
26,FF_Based,-21784.494731956533,22177.484423696413,34.26601766666667,-118.47729933333333,0.0,,
27,FF_Based,6826.164537003664,-593.2529472842114,34.06146558823529,-118.16704176470589,0.0,,
28,FF_Based,13522.187864018597,-14333.045089636993,33.9380395,-118.09442925,0.0,,
29,FF_Based,-23142.60721365539,27998.58348036311,34.31830925,-118.492026875,0.0,,
30,FF_Based,7777.660356172424,9428.264570362857,34.151489999999995,-118.156723625,0.0,,
31,FF_Based,-17716.962046664434,-4006.7235896368857,34.030802,-118.4331905,0.0,,
32,FF_Based,-12363.012382264444,9642.243874362926,34.1534122,-118.3751316,0.0,,
33,FF_Based,25184.239777179715,7654.157730363143,34.135553,-117.9679645,0.0,,
34,FF_Based,1180.4130664036702,16133.958730363056,34.211728,-118.228265,0.0,,
35,FF_Based,-14783.438164038025,24008.624210362625,34.282467,-118.401379,0.0,,
36,FF_Based,-15854.617247720618,25186.38981036312,34.293047,-118.412995,0.0,,
37,FF_Based,2523.5366333665575,15624.892370362988,34.207155,-118.2137,0.0,,
38,FF_Based,13498.511449613448,-31153.21878963666,33.786942,-118.094686,0.0,,
39,FF_Based,-4576.897860905423,-35348.702609636835,33.7492535,-118.29069799999999,0.0,,
40,FF_Based,26468.536231316415,7436.240878934691,34.13359542857143,-117.95403742857143,0.0,,
41,FF_Based,19239.59239080582,-4092.551309636919,34.030031,-118.032429,0.0,,
42,FF_Based,617.9426100561252,9347.000970363164,34.150760000000005,-118.2343645,0.0,,
43,FF_Based,4356.602906220208,-21571.683749637286,33.873014,-118.193822,0.0,,
44,FF_Based,-14932.059343721072,-8757.638549637131,33.988124,-118.40299066666667,0.0,,
45,FF_Based,3151.403482635851,-1428.7008163037547,34.05396066666667,-118.20689133333333,0.0,,
46,FF_Based,39030.861653984444,-5581.790269637253,34.016653,-117.81781,0.0,,
47,FF_Based,2430.767508178043,-867.0543096374163,34.059006,-118.214706,0.0,,
48,FF_Based,-17791.795192878428,21056.41781036286,34.255947,-118.434002,0.0,,
49,FF_Based,-16134.523031009643,19141.305637029483,34.23874333333333,-118.41603033333334,0.0,,
50,FF_Based,-24749.387366159503,29851.699690362773,34.334956,-118.509451,0.0,,
51,FF_Based,-636.0543570127081,-371.5689896370722,34.063457,-118.247963,0.0,,
52,FF_Based,38777.729200066045,5954.190010362917,34.120282,-117.820555,0.0,,
53,FF_Based,-21101.28301525898,10473.615030362693,34.1608805,-118.4698905,0.0,,
54,Geometric_Fallback,1816.978942321488,1749.967570362658,34.082515,-118.221362,0.0,,
55,Geometric_Fallback,-57148.128287737854,12305.496950362869,34.177336499999996,-118.860787,0.0,,
