fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
2,E,767494,767509,-790.2853330342476,4310.04927036293,-799.2763764796551,4067.3160103631617,-781.2942895888401,4552.782530362699,64.4118639184084,3955.5,5,5
2,E,767509,767523,-477.8119923781221,4901.548090362902,-781.2942895888401,4552.782530362699,-174.32969516740405,5250.313650363106,64.76919444850053,5112.5,5,5
2,E,767523,767541,36.47569268608433,5367.255310362891,-174.32969516740405,5250.313650363106,247.2810805395727,5484.1969703626755,66.13664626269065,5447.0,5,5
2,E,767541,767554,638.8294955976767,5763.276210362828,247.2810805395727,5484.1969703626755,1030.3779106557806,6042.35545036298,66.55881282349817,5387.5,22,22
2,E,767554,767572,1098.2026537733993,6430.2499903628695,1030.3779106557806,6042.35545036298,1166.027396891018,6818.144530362759,64.2286157588423,5883.5,22,22
2,E,767572,767620,1126.1901582413027,7224.128570362853,1166.027396891018,6818.144530362759,1086.3529195915874,7630.112610362947,60.12351196394154,6578.5,22,22
2,E,767620,767455,1229.7024276486636,8257.734770363073,1086.3529195915874,7630.112610362947,1373.05193570574,8885.356930363201,63.984601365887826,4425.0,22,22
2,E,767455,768202,1391.9100729826196,8960.386610363208,1373.05193570574,8885.356930363201,1410.768210259499,9035.416290363215,67.48953094175795,2383.0,23,23
2,E,768202,767470,1483.7109319531296,9482.75571036291,1410.768210259499,9035.416290363215,1556.6536536467602,9930.095130362604,66.76512083475058,4281.5,23,23
2,E,767470,767585,1560.3422868555526,10507.233670362843,1556.6536536467602,9930.095130362604,1564.0309200643449,11084.372210363083,68.37829157196492,5322.5,42,42
2,E,767585,767597,1688.0151037770634,11554.977510362965,1564.0309200643449,11084.372210363083,1811.9992874897819,12025.582810362846,69.65902119979344,4658.5,42,42
2,E,767597,767609,1991.5435089027687,12562.200870362958,1811.9992874897819,12025.582810362846,2171.0877303157554,13098.81893036307,69.10969139085964,5230.5,6,6
2,E,767609,768238,2092.3354113193413,13981.976150363074,2171.0877303157554,13098.81893036307,2013.5830923229273,14865.133370363079,69.57758076112673,3993.0,6,6
2,W,767495,718064,-616.7812484996348,4581.948370362623,-821.5926073897365,4070.65561036264,-411.96988960953297,5093.241130362606,54.44032531921941,5390.0,5,5
