fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
2,W,767610,768230,2068.1748638051913,13986.317630363188,2143.6074129140197,13099.041570363299,1992.742314696363,14873.593690363075,64.60815305435526,4309.5,6,6
5,N,762347,716896,20563.30452551002,-20976.62268963721,20896.710859623337,-21193.195749637376,20229.8981913967,-20760.049629637044,41.512988436817196,5608.0,21,21
5,N,716896,716899,19964.27049248601,-20587.78192963694,20229.8981913967,-20760.049629637044,19698.642793575324,-20415.51422963684,31.572609707119213,5519.0,21,21
5,N,716899,716900,19390.91856817466,-20215.583509636974,19698.642793575324,-20415.51422963684,19083.194342773993,-20015.652789637108,28.616260461249887,5209.0,21,21
5,N,716900,762353,18765.787455201804,-19809.432489636907,19083.194342773993,-20015.652789637108,18448.380567629614,-19603.212189636703,24.679199379966008,5885.5,21,21
5,N,762353,718358,17931.787486810812,-19265.355989637035,18448.380567629614,-19603.212189636703,17415.194405992013,-18927.499789637368,34.952585892564024,6612.5,18,18
5,N,718358,769625,17089.2575541256,-18702.68904963704,17415.194405992013,-18927.499789637368,16763.320702259185,-18477.87830963671,41.55607432972772,6362.5,18,18
5,N,769625,718081,16497.139708366685,-18234.087509636847,16763.320702259185,-18477.87830963671,16230.958714474187,-17990.29670963698,36.65072657829227,5280.0,18,18
5,N,718081,759518,15732.43993637552,-17523.977229636956,16230.958714474187,-17990.29670963698,15233.921158276853,-17057.65774963693,28.524117536602812,5127.5,18,18
5,N,759518,715918,14535.939539440998,-15969.727389637024,15233.921158276853,-17057.65774963693,13837.957920605142,-14881.79702963712,20.61867850538577,5874.0,28,28
5,N,715918,764232,13629.273496846956,-14512.381609637243,13837.957920605142,-14881.79702963712,13420.589073088768,-14142.966189637367,22.16052732088096,5715.0,28,28
5,N,764232,763985,12983.301606247536,-13400.573109637116,13420.589073088768,-14142.966189637367,12546.014139406305,-12658.180029636866,22.92973516052238,7026.5,28,28
5,N,763985,759531,12260.882792406297,-12407.82134963697,12546.014139406305,-12658.180029636866,11975.75144540629,-12157.462669637074,25.118802580492464,8763.5,28,28
5,N,759531,759542,11891.051205361477,-12083.601849636885,11975.75144540629,-12157.462669637074,11806.350965316664,-12009.741029636696,26.321801288317758,8481.5,28,28
5,N,759542,759552,11535.974151149861,-11770.959629636836,11806.350965316664,-12009.741029636696,11265.597336983059,-11532.178229636978,27.01942163454192,8621.0,28,28
5,N,759552,715930,11080.935136993405,-11055.56164963685,11265.597336983059,-11532.178229636978,10896.27293700375,-10578.94506963672,30.183841334463924,9359.0,28,28
5,N,715930,716921,10764.7270552135,-10312.27800963687,10896.27293700375,-10578.94506963672,10633.181173423249,-10045.610949637017,36.23443786903273,9470.5,28,28
5,N,716921,715933,10406.284123199312,-9751.447849636981,10633.181173423249,-10045.610949637017,10179.387072975373,-9457.284749636945,40.37312271894693,8344.0,28,28
5,N,715933,716923,9964.61640442317,-9228.188189637156,10179.387072975373,-9457.284749636945,9749.845735870966,-8999.091629637365,35.93747692859449,7296.5,13,13
5,N,716923,763975,9446.547870320852,-8645.6506296371,9749.845735870966,-8999.091629637365,9143.250004770738,-8292.209629636836,32.33157749197339,6907.5,13,13
5,N,763975,716925,9023.461641331669,-8140.92574963675,9143.250004770738,-8292.209629636836,8903.6732778926,-7989.641869636664,37.492381079611256,7651.0,13,13
5,N,716925,715938,8604.709556361751,-7571.189989636805,8903.6732778926,-7989.641869636664,8305.745834830903,-7152.738109636945,36.99535591296265,8729.0,13,13
5,N,715938,716929,8053.581647130506,-6893.640809636966,8305.745834830903,-7152.738109636945,7801.4174594301085,-6634.5435096369865,36.996735247533465,8906.5,13,13
5,N,716929,764435,7586.139603811738,-6406.39316963718,7801.4174594301085,-6634.5435096369865,7370.861748193367,-6178.242829637374,39.618462824346054,9130.0,13,13
5,N,764435,715944,7142.350920940951,-6045.716369637388,7370.861748193367,-6178.242829637374,6913.840093688536,-5913.189909637402,33.4064943182322,8728.0,13,13
5,N,715944,718086,6681.456201566725,-5807.936849637372,6913.840093688536,-5913.189909637402,6449.072309444914,-5702.683789637343,26.023830437594434,7557.0,13,13
