fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
5,N,718358,769625,17089.257554128206,-18702.68904964337,66.28519993980554,93694.0,18,18
5,N,769625,718081,16497.139708369294,-18234.087509643174,53.27035185237041,96492.5,18,18
5,N,718081,759518,15732.43993637813,-17523.977229643282,41.95241102181401,90668.0,18,18
5,N,759518,715918,14535.939539443607,-15969.727389643354,41.95241102181401,90668.0,28,18
5,N,715918,764232,13629.273496849566,-14512.381609643573,47.528797833043456,89674.0,28,28
5,N,764232,763985,12983.301606250148,-13400.573109643443,51.66849630119832,97264.5,28,28
5,N,763985,759531,12260.88279240891,-12407.821349643298,51.15524799969943,105782.0,28,28
5,N,759531,759542,11891.05120536409,-12083.601849643212,50.41739489722745,110779.0,28,28
5,N,759542,759552,11535.974151152473,-11770.959629643163,44.05411971499194,114280.5,28,28
5,N,759552,715930,11080.935136996017,-11055.561649643176,40.83580637827063,116277.0,28,28
5,N,715930,716921,10764.727055216114,-10312.278009643196,44.11174606585644,115290.0,28,13
5,N,716921,715933,10406.284123201924,-9751.44784964331,43.33257082788553,110724.0,28,13
5,N,715933,716923,9964.616404425784,-9228.188189643482,39.40231797052385,98510.0,13,13
5,N,716923,763975,9446.547870323466,-8645.650629643427,38.09372159592652,91750.0,13,13
5,N,763975,716925,9023.461641334285,-8140.925749643078,41.697426601457636,100012.0,13,13
5,N,716925,715938,8604.709556364367,-7571.189989643132,46.16217890663208,110229.5,13,13
5,N,715938,716929,8053.581647133122,-6893.640809643293,51.85724454826425,115088.0,13,13
5,N,716929,764435,7586.139603814354,-6406.3931696435075,58.91086146641504,120017.0,13,13
5,N,764435,715944,7142.350920943567,-6045.716369643716,61.47917552560952,117457.5,13,13
5,N,715944,718086,6681.456201569341,-5807.9368496437,62.38068508940931,103626.0,13,3
5,N,718086,716933,5961.665538888918,-5451.712849643344,60.98444781025427,110347.5,13,16
5,N,716933,759566,5106.917008701337,-5191.00140964309,63.7847030298969,102960.5,13,16
5,N,759566,759576,4476.483485491868,-5132.057469643205,68.58419986813601,85040.0,13,16
5,N,759576,716937,3767.0209957947527,-4851.3084296433135,69.02337630537602,68778.5,16,16
5,N,716937,763700,3059.771686022912,-4482.393949643359,53.762525812723695,52696.5,16,16
5,N,763700,716942,2624.8818307669044,-2603.590649643397,32.698149039518434,88228.5,45,47
5,N,716942,763237,2230.2441853961504,135.7162503564183,28.10211701121274,108783.5,47,47
5,N,763237,716951,1348.5225248730035,1684.7897103563655,30.44983825326274,97383.5,47,47
5,N,716951,718371,456.19604387597093,2426.904490356528,34.707936041119815,124661.5,5,5
5,N,718371,716953,54.91885873070125,2825.2631103564954,40.65815912219189,145654.5,5,5
5,N,716953,763674,-396.615953877566,3417.6524903565924,48.01338029571534,126710.5,5,5
5,N,763674,763669,-877.3831846616631,4010.4314903568916,55.7191129984886,109643.0,5,22
5,N,763669,716956,-1364.4210918997242,4426.489990356861,59.5211648592922,116304.5,5,22
5,N,716956,759591,-2055.855386791038,4962.217490356848,60.79196078431373,124224.0,5,22
5,N,759591,775734,-2622.0605842610516,5658.468430356928,61.32122987815975,116024.0,5,22
5,N,775734,759602,-2831.1138713404453,6164.139530356868,61.43911183285594,108513.0,5,22
5,N,759602,761599,-3139.3913917222653,7368.343630356661,65.13174936631202,116622.0,25,42
5,N,761599,761604,-3793.5243832947035,9060.073670356724,68.01351657817396,104429.0,25,42
5,N,761604,718384,-4372.178717843326,9861.744650356808,67.71757298055778,95955.0,25,42
5,N,718384,716963,-4792.221824436157,10434.820010356627,68.1591791176576,79679.0,25,42
5,N,716963,716968,-5116.452683443465,10908.375290356576,68.32364956825532,68787.0,25,42
5,N,716968,716971,-5497.719033433903,11241.333410356745,67.36893006317234,95955.0,25,42
5,N,716971,716973,-5818.169043403101,11524.531490356781,66.8558166951892,106847.0,25,25
5,N,716973,716974,-6213.313875839367,12070.500430356617,67.81053620027217,79679.0,25,25
