fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
2,E,767494,767509,-790.2853330316264,4310.049270356603,-799.2763764770339,4067.3160103568343,-781.2942895862187,4552.782530356371,66.02244894328516,41442.5,5,22
2,E,767509,767523,-477.8119923755009,4901.548090356575,-781.2942895862187,4552.782530356371,-174.32969516478303,5250.313650356778,66.68112784526475,42697.5,5,22
2,E,767523,767541,36.475692688705266,5367.255310356563,-174.32969516478303,5250.313650356778,247.28108054219356,5484.196970356348,66.724539816641,46220.0,5,22
2,E,767541,767554,638.8294956002973,5763.2762103565,247.28108054219356,5484.196970356348,1030.3779106584009,6042.355450356653,66.75680317381727,49631.5,22,22
2,E,767554,767572,1098.2026537760198,6430.249990356542,1030.3779106584009,6042.355450356653,1166.0273968936385,6818.144530356431,68.7516800914039,46824.5,22,22
2,E,767572,767620,1126.1901582439232,7224.1285703565245,1166.0273968936385,6818.144530356431,1086.3529195942076,7630.1126103566185,69.40743350035369,43934.0,22,22
2,E,767620,767455,1229.7024276512839,8257.734770356747,1086.3529195942076,7630.1126103566185,1373.0519357083604,8885.356930356873,66.187409010377,34541.0,22,22
2,E,767455,768202,1391.9100729852398,8960.38661035688,1373.0519357083604,8885.356930356873,1410.7682102621193,9035.416290356887,67.13405066841202,21961.5,23,23
2,E,768202,767470,1483.7109319557499,9482.755710356581,1410.7682102621193,9035.416290356887,1556.6536536493802,9930.095130356276,69.31356027346524,28186.5,23,23
2,E,767470,767585,1560.3422868581724,10507.233670356516,1556.6536536493802,9930.095130356276,1564.0309200669649,11084.372210356754,69.84356934848437,35154.5,42,23
2,E,767585,767597,1688.0151037796836,11554.977510356635,1564.0309200669649,11084.372210356754,1811.9992874924021,12025.582810356518,70.88703059799502,34750.5,42,23
2,E,767597,767609,1991.5435089053885,12562.20087035663,1811.9992874924021,12025.582810356518,2171.087730318375,13098.818930356741,70.91277992009623,35927.5,6,6
2,E,767609,768238,2092.335411321961,13981.976150356746,2171.087730318375,13098.818930356741,2013.5830923255476,14865.13337035675,71.3963661685742,26876.5,6,6
2,W,767495,718064,-616.7812484970134,4581.9483703562955,-821.5926073871151,4070.655610356312,-411.9698896069118,5093.2411303562785,53.643536161707836,51161.0,5,22
2,W,718064,767542,-90.32107384543067,5297.568990356513,-411.9698896069118,5093.2411303562785,231.32774191605046,5501.896850356746,58.708819553987894,54057.5,5,22
2,W,767542,718066,645.8378986960198,5809.362690356812,231.32774191605046,5501.896850356746,1060.3480554759892,6116.828530356878,65.72744321203773,51626.5,22,22
2,W,718066,767573,1100.1852941257048,6468.321430356919,1060.3480554759892,6116.828530356878,1140.0225327754201,6819.81433035696,66.5473259111181,47899.0,22,22
2,W,767573,767621,1100.0930782957307,7223.794610356972,1140.0225327754201,6819.81433035696,1060.163623816041,7627.774890356984,64.61834446541268,50722.0,22,22
2,W,767621,762329,1099.9086466351273,7820.302830356952,1060.163623816041,7627.774890356984,1139.6536694542133,8012.830770356921,65.20968434375389,44358.5,22,22
2,W,762329,767454,1247.8689462020473,8451.654210356759,1139.6536694542133,8012.830770356921,1356.0842229498812,8890.477650356599,65.57327638443545,36590.5,22,22
2,W,767454,718072,1374.2046335856576,8978.531770356549,1356.0842229498812,8890.477650356599,1392.3250442214337,9066.585890356499,66.58335813275022,29092.0,23,23
2,W,718072,767471,1463.192909735405,9500.511250356445,1392.3250442214337,9066.585890356499,1534.0607752493765,9934.43661035639,66.06170868145368,35070.5,23,23
2,W,767471,718076,1475.7342626433333,10219.861090356342,1534.0607752493765,9934.43661035639,1417.4077500372903,10505.285570356293,65.16122045471296,43221.5,42,23
2,W,718076,767598,1601.4244392151593,11266.603050356618,1417.4077500372903,10505.285570356293,1785.4411283930283,12027.920530356945,66.63953010375434,40093.0,42,23
2,W,767598,767610,1964.5242706548338,12563.481050356957,1785.4411283930283,12027.920530356945,2143.6074129166395,13099.04157035697,66.71767095184717,41323.5,6,6
