Episode 74, Reward: -161.12, Buffer Size: 74000
Episode 75, Reward: -161.28, Buffer Size: 75000
Episode 76, Reward: -163.38, Buffer Size: 76000
Episode 77, Reward: -160.89, Buffer Size: 77000
Episode 78, Reward: -162.11, Buffer Size: 78000
Episode 79, Reward: -161.33, Buffer Size: 79000
Episode 80, Reward: -160.24, Buffer Size: 80000
Episode 81, Reward: -161.61, Buffer Size: 81000
Episode 82, Reward: -160.30, Buffer Size: 82000
Episode 83, Reward: -161.85, Buffer Size: 83000
Episode 84, Reward: -161.49, Buffer Size: 84000
Episode 85, Reward: -162.31, Buffer Size: 85000
Episode 86, Reward: -161.31, Buffer Size: 86000
Episode 87, Reward: -162.07, Buffer Size: 87000
Episode 88, Reward: -161.48, Buffer Size: 88000
Episode 89, Reward: -161.41, Buffer Size: 89000
Episode 90, Reward: -161.66, Buffer Size: 90000
Episode 91, Reward: -162.09, Buffer Size: 91000
Episode 92, Reward: -161.06, Buffer Size: 92000
Episode 93, Reward: -159.24, Buffer Size: 93000
Episode 94, Reward: -160.50, Buffer Size: 94000
Episode 95, Reward: -161.09, Buffer Size: 95000
Episode 96, Reward: -161.92, Buffer Size: 96000
Episode 97, Reward: -161.91, Buffer Size: 97000
Episode 98, Reward: -161.72, Buffer Size: 98000
Episode 99, Reward: -161.40, Buffer Size: 99000
Episode 100, Reward: -160.94, Buffer Size: 100000
학습 완료!
[ 0.12356974 -0.07539267  0.24924613  0.08664822  0.06508467  0.20006552
 -0.31847244  0.06704368 -0.25790992  0.00845606 -0.02536756  0.14431382
  0.04954525  0.11885755  0.04173135 -0.26382163  0.19360201  0.30590387
 -0.31376579  0.00412951  0.09920126 -0.31308137  0.10553542  0.16721814
  0.18516586 -0.16841963 -0.30819736  0.34658445 -0.1123321   0.31265234
  0.34658445 -0.20942437 -0.33790018  0.06620446 -0.26817297 -0.17054005
 -0.17590221 -0.31850624 -0.0772672   0.19164939 -0.20464298  0.34658445
 -0.12653536  0.01137467  0.11069693  0.03885889  0.04358082  0.08107115
  0.00624598 -0.26191464  0.23919638  0.12469054  0.08667694 -0.31851178
  0.10833366 -0.05022507]
